CUSIP,h_opt ($),duration (yrs),h_curr ($),Delta ($),Spread (bps),Score,C1 charge ($)
13607PVU5,0.0,4.287053572288284,1650165.0165016502,-1650165.0165016502,39.18629288,0.0039186292880000004,0.0
58769JAQ0,0.0,1.8319605101839282,1650165.0165016502,-1650165.0165016502,46.01377921,0.0046013779210000005,0.0
83051GAT5,0.0,1.5578449195156296,1650165.0165016502,-1650165.0165016502,36.74477571,0.003674477571,0.0
74531EAA0,0.0,2.518026641039886,1650165.0165016502,-1650165.0165016502,51.78312221,0.0051783122210000004,0.0
86959LAL7,0.0,2.2019412323703276,1650165.0165016502,-1650165.0165016502,27.97730018,0.002797730018,0.0
57629XDA3,0.0,5.477189908712771,1650165.0165016502,-1650165.0165016502,56.21054942,0.005621054942,0.0
931142CH4,0.0,1.9972563989328151,1650165.0165016502,-1650165.0165016502,-1.635452501,-0.0001635452501,0.0
41136TAA5,0.0,3.0499916460314,1650165.0165016502,-1650165.0165016502,68.37883728,0.006837883728,0.0
BK8837647,0.0,5.0690879430594915,1650165.0165016502,-1650165.0165016502,14.53414384,0.001453414384,0.0
QZ9785317,0.0,1.6834054366191413,1650165.0165016502,-1650165.0165016502,20.888604990000005,0.0020888604990000003,0.0
ZH5526616,0.0,1.6281616618533632,1650165.0165016502,-1650165.0165016502,30.13537692,0.003013537692,0.0
64952XDN8,0.0,5.088191532994059,1650165.0165016502,-1650165.0165016502,42.9667709,0.00429667709,0.0
64952XFJ5,0.0,2.6293249184304557,1650165.0165016502,-1650165.0165016502,28.146978049999998,0.002814697805,0.0
66815M2F3,0.0,1.8748050868020512,1650165.0165016502,-1650165.0165016502,32.83315321,0.0032833153209999998,0.0
66815M2R7,0.0,1.973093670420653,1650165.0165016502,-1650165.0165016502,51.520125019999995,0.005152012502,0.0
66815M2S5,0.0,5.200408662307478,1650165.0165016502,-1650165.0165016502,65.87329983,0.006587329982999999,0.0
961214EL3,0.0,4.415164399913353,1650165.0165016502,-1650165.0165016502,44.97761009,0.004497761009,0.0
ZB0794709,0.0,2.0003911039216873,1650165.0165016502,-1650165.0165016502,36.16896852,0.003616896852,0.0
66815M2Q9,0.0,3.5037088120709425,1650165.0165016502,-1650165.0165016502,55.65400085,0.005565400085,0.0
21688ABD3,0.0,1.9267833297853452,1650165.0165016502,-1650165.0165016502,25.86109992,0.002586109992,0.0
63253QAG9,0.0,3.5084787237531776,1650165.0165016502,-1650165.0165016502,33.62898663,0.003362898663,0.0
87020PAV9,0.0,1.3132462229484791,1650165.0165016502,-1650165.0165016502,36.99492162,0.0036994921619999998,0.0
961214ET6,0.0,5.6586634149267585,1650165.0165016502,-1650165.0165016502,41.05566515000001,0.004105566515000001,0.0
